Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0006428	MUT	DNMT1	19p13.2	14 (1.39%)	0 (0.00%)	>10	3.228E-06	9.254E-05	Co-occurrence
P-0006428	MUT	KDM5A	12p13.33	22 (2.18%)	4 (0.27%)	3	4.813E-06	1.324E-04	Co-occurrence
P-0006428	MUT	HIST1H3F	6p22.2	18 (1.79%)	2 (0.14%)	3.71	6.205E-06	1.495E-04	Co-occurrence
P-0006428	MUT	NOTCH4	6p21.32	18 (1.79%)	2 (0.14%)	3.71	6.205E-06	1.495E-04	Co-occurrence
P-0006428	MUT	PTPRS	19p13.3	18 (1.79%)	2 (0.14%)	3.71	6.205E-06	1.495E-04	Co-occurrence
P-0006428	MUT	CARD11	7p22.2	32 (3.18%)	11 (0.75%)	2.08	6.303E-06	1.495E-04	Co-occurrence
P-0006428	MUT	FLT4	5q35.3	43 (4.27%)	20 (1.36%)	1.65	6.993E-06	1.574E-04	Co-occurrence
P-0006428	MUT	STAG2	Xq25	52 (5.16%)	28 (1.91%)	1.44	7.093E-06	1.574E-04	Co-occurrence
P-0006428	MUT	PIK3CD	1p36.22	13 (1.29%)	0 (0.00%)	>10	7.995E-06	1.719E-04	Co-occurrence
P-0006428	MUT	NSD1	5q35.3	27 (2.68%)	8 (0.54%)	2.3	1.109E-05	2.313E-04	Co-occurrence
P-0006428	MUT	ASXL2	2p23.3	15 (1.49%)	1 (0.07%)	4.45	1.296E-05	2.623E-04	Co-occurrence
P-0006428	MUT	MGA	15q15.1	22 (2.18%)	5 (0.34%)	2.68	1.604E-05	3.153E-04	Co-occurrence
P-0006428	MUT	ARID5B	10q21.2	12 (1.19%)	0 (0.00%)	>10	1.979E-05	3.491E-04	Co-occurrence
P-0006428	MUT	IKBKE	1q32.1	12 (1.19%)	0 (0.00%)	>10	1.979E-05	3.491E-04	Co-occurrence
P-0006428	MUT	LATS1	6q25.1	12 (1.19%)	0 (0.00%)	>10	1.979E-05	3.491E-04	Co-occurrence
P-0006428	MUT	MST1R	3p21.31	12 (1.19%)	0 (0.00%)	>10	1.979E-05	3.491E-04	Co-occurrence
P-0006428	MUT	TET1	10q21.3	20 (1.99%)	4 (0.27%)	2.87	2.136E-05	3.603E-04	Co-occurrence
P-0006428	MUT	MED12	Xq13.1	26 (2.58%)	8 (0.54%)	2.24	2.147E-05	3.603E-04	Co-occurrence
P-0006428	MUT	MTOR	1p36.22	35 (3.48%)	15 (1.02%)	1.77	2.2E-05	3.605E-04	Co-occurrence
P-0006428	MUT	ARID1B	6q25.3	48 (4.77%)	27 (1.84%)	1.37	2.995E-05	4.72E-04	Co-occurrence
P-0006428	MUT	BAP1	3p21.1	14 (1.39%)	1 (0.07%)	4.35	3.019E-05	4.72E-04	Co-occurrence
P-0006428	MUT	TP63	3q28	16 (1.59%)	2 (0.14%)	3.54	3.099E-05	4.738E-04	Co-occurrence
P-0006428	MUT	ATR	3q23	21 (2.09%)	5 (0.34%)	2.61	3.27E-05	4.891E-04	Co-occurrence
P-0006428	MUT	ERCC4	16p13.12	19 (1.89%)	4 (0.27%)	2.79	4.448E-05	6.356E-04	Co-occurrence
P-0006428	MUT	ROS1	6q22.1	46 (4.57%)	26 (1.77%)	1.37	4.702E-05	6.356E-04	Co-occurrence
P-0006428	MUT	MSH2	2p21-p16.3	30 (2.98%)	12 (0.82%)	1.87	4.711E-05	6.356E-04	Co-occurrence
P-0006428	MUT	PBRM1	3p21.1	30 (2.98%)	12 (0.82%)	1.87	4.711E-05	6.356E-04	Co-occurrence
P-0006428	MUT	AMER1	Xq11.2	11 (1.09%)	0 (0.00%)	>10	4.896E-05	6.356E-04	Co-occurrence
P-0006428	MUT	PARP1	1q42.12	11 (1.09%)	0 (0.00%)	>10	4.896E-05	6.356E-04	Co-occurrence
P-0006428	MUT	PIK3CB	3q22.3	11 (1.09%)	0 (0.00%)	>10	4.896E-05	6.356E-04	Co-occurrence
P-0006428	MUT	BRIP1	17q23.2	26 (2.58%)	9 (0.61%)	2.07	5.145E-05	6.435E-04	Co-occurrence
P-0006428	MUT	GLI1	12q13.3	26 (2.58%)	9 (0.61%)	2.07	5.145E-05	6.435E-04	Co-occurrence
P-0006428	MUT	MET	7q31.2	39 (3.87%)	20 (1.36%)	1.51	5.886E-05	7.231E-04	Co-occurrence
P-0006428	MUT	JAK3	19p13.11	27 (2.68%)	10 (0.68%)	1.98	6.225E-05	7.514E-04	Co-occurrence
P-0006428	MUT	DNMT3A	2p23.3	33 (3.28%)	15 (1.02%)	1.68	6.785E-05	7.522E-04	Co-occurrence
P-0006428	MUT	NCOR1	17p12-p11.2	15 (1.49%)	2 (0.14%)	3.45	6.86E-05	7.522E-04	Co-occurrence
P-0006428	MUT	RICTOR	5p13.1	15 (1.49%)	2 (0.14%)	3.45	6.86E-05	7.522E-04	Co-occurrence
P-0006428	MUT	DOT1L	19p13.3	13 (1.29%)	1 (0.07%)	4.24	6.997E-05	7.522E-04	Co-occurrence
P-0006428	MUT	SRC	20q11.23	13 (1.29%)	1 (0.07%)	4.24	6.997E-05	7.522E-04	Co-occurrence
P-0006428	MUT	TBX3	12q24.21	13 (1.29%)	1 (0.07%)	4.24	6.997E-05	7.522E-04	Co-occurrence
P-0006428	MUT	TP53BP1	15q15.3	13 (1.29%)	1 (0.07%)	4.24	6.997E-05	7.522E-04	Co-occurrence
P-0006428	MUT	SF3B1	2q33.1	24 (2.38%)	8 (0.54%)	2.13	7.831E-05	8.289E-04	Co-occurrence
P-0006428	MUT	HNF1A	12q24.31	21 (2.09%)	6 (0.41%)	2.35	9.102E-05	9.43E-04	Co-occurrence
P-0006428	MUT	XPO1	2p15	18 (1.79%)	4 (0.27%)	2.71	9.183E-05	9.43E-04	Co-occurrence
P-0006428	MUT	KMT2A	11q23.3	40 (3.97%)	22 (1.50%)	1.41	1.078E-04	1.075E-03	Co-occurrence
P-0006428	MUT	NOTCH2	1p12	40 (3.97%)	22 (1.50%)	1.41	1.078E-04	1.075E-03	Co-occurrence
P-0006428	MUT	SMARCA4	19p13.2	42 (4.17%)	24 (1.63%)	1.35	1.157E-04	1.137E-03	Co-occurrence
P-0006428	MUT	IL7R	5p13.2	10 (0.99%)	0 (0.00%)	>10	1.211E-04	1.157E-03	Co-occurrence
P-0006428	MUT	IRF4	6p25.3	10 (0.99%)	0 (0.00%)	>10	1.211E-04	1.157E-03	Co-occurrence
P-0006428	MUT	FAT1	4q35.2	35 (3.48%)	18 (1.23%)	1.5	1.464E-04	1.38E-03	Co-occurrence
P-0006428	MUT	IRS2	13q34	12 (1.19%)	1 (0.07%)	4.13	1.613E-04	1.461E-03	Co-occurrence
P-0006428	MUT	JAK1	1p31.3	12 (1.19%)	1 (0.07%)	4.13	1.613E-04	1.461E-03	Co-occurrence
P-0006428	MUT	PGR	11q22.1	12 (1.19%)	1 (0.07%)	4.13	1.613E-04	1.461E-03	Co-occurrence
P-0006428	MUT	CDH1	16q22.1	20 (1.99%)	6 (0.41%)	2.28	1.774E-04	1.585E-03	Co-occurrence
P-0006428	MUT	KDM5C	Xp11.22	17 (1.69%)	4 (0.27%)	2.63	1.878E-04	1.657E-03	Co-occurrence
P-0006428	MUT	CREBBP	16p13.3	46 (4.57%)	29 (1.98%)	1.21	2.003E-04	1.744E-03	Co-occurrence
P-0006428	MUT	BRCA1	17q21.31	32 (3.18%)	16 (1.09%)	1.54	2.169E-04	1.866E-03	Co-occurrence
P-0006428	MUT	TSC2	16p13.3	36 (3.57%)	20 (1.36%)	1.39	2.664E-04	2.263E-03	Co-occurrence
P-0006428	MUT	AXIN1	16p13.3	9 (0.89%)	0 (0.00%)	>10	2.991E-04	2.479E-03	Co-occurrence
P-0006428	MUT	CDH4	20q13.33	9 (0.89%)	0 (0.00%)	>10	2.991E-04	2.479E-03	Co-occurrence
P-0006428	MUT	INSR	19p13.2	13 (1.29%)	2 (0.14%)	3.24	3.286E-04	2.66E-03	Co-occurrence
P-0006428	MUT	TRAF7	16p13.3	13 (1.29%)	2 (0.14%)	3.24	3.286E-04	2.66E-03	Co-occurrence
P-0006428	MUT	EPHB1	3q22.2	11 (1.09%)	1 (0.07%)	4	3.698E-04	2.925E-03	Co-occurrence
P-0006428	MUT	HGF	7q21.11	11 (1.09%)	1 (0.07%)	4	3.698E-04	2.925E-03	Co-occurrence
P-0006428	MUT	MSH6	2p16.3	32 (3.18%)	17 (1.16%)	1.46	3.849E-04	3.009E-03	Co-occurrence
P-0006428	MUT	TET2	4q24	37 (3.67%)	22 (1.50%)	1.29	4.545E-04	3.513E-03	Co-occurrence
P-0006428	MUT	RAD50	5q31.1	17 (1.69%)	5 (0.34%)	2.31	5.142E-04	3.931E-03	Co-occurrence
P-0006428	MUT	REL	2p16.1	14 (1.39%)	3 (0.20%)	2.77	5.341E-04	4.038E-03	Co-occurrence
P-0006428	MUT	RASA1	5q14.3	12 (1.19%)	2 (0.14%)	3.13	7.096E-04	4.941E-03	Co-occurrence
P-0006428	MUT	ASXL1	20q11.21	39 (3.87%)	25 (1.70%)	1.19	7.378E-04	4.941E-03	Co-occurrence
P-0006428	MUT	DNMT3B	20q11.21	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	ERRFI1	1p36.23	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	RPS6KA4	11q13.1	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	SHQ1	3p13	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	SMAD3	15q22.33	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	TEK	9p21.2	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	TRAF2	9q34.3	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	YES1	18p11.32	8 (0.79%)	0 (0.00%)	>10	7.387E-04	4.941E-03	Co-occurrence
P-0006428	MUT	COP1	1q25.1-q25.2	15 (1.49%)	4 (0.27%)	2.45	7.613E-04	4.941E-03	Co-occurrence
P-0006428	MUT	ETV1	7p21.2	15 (1.49%)	4 (0.27%)	2.45	7.613E-04	4.941E-03	Co-occurrence
P-0006428	MUT	NTRK2	9q21.33	15 (1.49%)	4 (0.27%)	2.45	7.613E-04	4.941E-03	Co-occurrence
P-0006428	MUT	PIK3C2G	12p12.3	15 (1.49%)	4 (0.27%)	2.45	7.613E-04	4.941E-03	Co-occurrence
P-0006428	MUT	RAD21	8q24.11	15 (1.49%)	4 (0.27%)	2.45	7.613E-04	4.941E-03	Co-occurrence
P-0006428	MUT	SMO	7q32.1	25 (2.48%)	12 (0.82%)	1.6	7.984E-04	5.134E-03	Co-occurrence
P-0006428	MUT	AURKB	17p13.1	10 (0.99%)	1 (0.07%)	3.87	8.42E-04	5.172E-03	Co-occurrence
P-0006428	MUT	HOXB13	17q21.32	10 (0.99%)	1 (0.07%)	3.87	8.42E-04	5.172E-03	Co-occurrence
P-0006428	MUT	LATS2	13q12.11	10 (0.99%)	1 (0.07%)	3.87	8.42E-04	5.172E-03	Co-occurrence
P-0006428	MUT	MDC1	6p21.33	10 (0.99%)	1 (0.07%)	3.87	8.42E-04	5.172E-03	Co-occurrence
P-0006428	MUT	STAT5B	17q21.2	10 (0.99%)	1 (0.07%)	3.87	8.42E-04	5.172E-03	Co-occurrence
P-0006428	MUT	IGF1R	15q26.3	26 (2.58%)	13 (0.89%)	1.54	8.581E-04	5.224E-03	Co-occurrence
P-0006428	MUT	ARID1A	1p36.11	54 (5.36%)	41 (2.79%)	0.94	8.708E-04	5.255E-03	Co-occurrence
P-0006428	MUT	BLM	15q26.1	20 (1.99%)	8 (0.54%)	1.87	9.213E-04	5.418E-03	Co-occurrence
P-0006428	MUT	ERG	21q22.2	20 (1.99%)	8 (0.54%)	1.87	9.213E-04	5.418E-03	Co-occurrence
P-0006428	MUT	PRDM1	6q21	20 (1.99%)	8 (0.54%)	1.87	9.213E-04	5.418E-03	Co-occurrence
P-0006428	MUT	ERBB4	2q34	28 (2.78%)	15 (1.02%)	1.44	9.587E-04	5.59E-03	Co-occurrence
P-0006428	MUT	PALB2	16p12.2	21 (2.09%)	9 (0.61%)	1.77	1.046E-03	6.047E-03	Co-occurrence
P-0006428	MUT	EP300	22q13.2	33 (3.28%)	20 (1.36%)	1.27	1.107E-03	6.349E-03	Co-occurrence
P-0006428	MUT	EPHA3	3p11.1	23 (2.28%)	11 (0.75%)	1.61	1.266E-03	7.2E-03	Co-occurrence
P-0006428	MUT	KDM6A	Xp11.3	18 (1.79%)	7 (0.48%)	1.91	1.45E-03	8.175E-03	Co-occurrence
P-0006428	MUT	AXL	19q13.2	26 (2.58%)	14 (0.95%)	1.44	1.515E-03	8.414E-03	Co-occurrence
P-0006428	MUT	SOX17	8q11.23	11 (1.09%)	2 (0.14%)	3	1.517E-03	8.414E-03	Co-occurrence
P-0006428	MUT	FLT1	13q12.3	32 (3.18%)	20 (1.36%)	1.22	1.744E-03	9.6E-03	Co-occurrence
P-0006428	MUT	FANCA	16q24.3	34 (3.38%)	22 (1.50%)	1.17	1.758E-03	9.601E-03	Co-occurrence
P-0006428	MUT	INPP4A	2q11.2	7 (0.70%)	0 (0.00%)	>10	1.823E-03	9.85E-03	Co-occurrence
P-0006428	MUT	EPHA5	4q13.1-q13.2	20 (1.99%)	9 (0.61%)	1.7	1.844E-03	9.85E-03	Co-occurrence
P-0006428	MUT	CDK8	13q12.13	9 (0.89%)	1 (0.07%)	3.71	1.902E-03	9.85E-03	Co-occurrence
P-0006428	MUT	MYD88	3p22.2	9 (0.89%)	1 (0.07%)	3.71	1.902E-03	9.85E-03	Co-occurrence
P-0006428	MUT	PPP2R1A	19q13.41	9 (0.89%)	1 (0.07%)	3.71	1.902E-03	9.85E-03	Co-occurrence
P-0006428	MUT	SMARCD1	12q13.12	9 (0.89%)	1 (0.07%)	3.71	1.902E-03	9.85E-03	Co-occurrence
P-0006428	MUT	AKT1	14q32.33	15 (1.49%)	5 (0.34%)	2.13	1.904E-03	9.85E-03	Co-occurrence
P-0006428	MUT	SUZ12	17q11.2	12 (1.19%)	3 (0.20%)	2.54	2.234E-03	0.0115	Co-occurrence
P-0006428	MUT	RPTOR	17q25.3	16 (1.59%)	6 (0.41%)	1.96	2.281E-03	0.0115	Co-occurrence
P-0006428	MUT	RUNX1	21q22.12	16 (1.59%)	6 (0.41%)	1.96	2.281E-03	0.0115	Co-occurrence
P-0006428	MUT	POLE	12q24.33	23 (2.28%)	12 (0.82%)	1.48	2.289E-03	0.0115	Co-occurrence
P-0006428	MUT	MAP3K1	5q11.2	24 (2.38%)	13 (0.89%)	1.43	2.398E-03	0.012	Co-occurrence
P-0006428	MUT	FLT3	13q12.2	26 (2.58%)	15 (1.02%)	1.34	2.562E-03	0.0126	Co-occurrence
P-0006428	MUT	CSF1R	5q32	17 (1.69%)	7 (0.48%)	1.82	2.626E-03	0.0126	Co-occurrence
P-0006428	MUT	ERCC3	2q14.3	17 (1.69%)	7 (0.48%)	1.82	2.626E-03	0.0126	Co-occurrence
P-0006428	MUT	PLCG2	16q23.3	17 (1.69%)	7 (0.48%)	1.82	2.626E-03	0.0126	Co-occurrence
P-0006428	MUT	TSC1	9q34.13	17 (1.69%)	7 (0.48%)	1.82	2.626E-03	0.0126	Co-occurrence
P-0006428	MUT	IDH2	15q26.1	35 (3.48%)	24 (1.63%)	1.09	2.66E-03	0.0126	Co-occurrence
P-0006428	MUT	KDR	4q12	35 (3.48%)	24 (1.63%)	1.09	2.66E-03	0.0126	Co-occurrence
P-0006428	MUT	AXIN2	17q24.1	13 (1.29%)	4 (0.27%)	2.24	2.935E-03	0.0137	Co-occurrence
P-0006428	MUT	TENT5C	1p12	13 (1.29%)	4 (0.27%)	2.24	2.935E-03	0.0137	Co-occurrence
P-0006428	MUT	ACVR1	2q24.1	10 (0.99%)	2 (0.14%)	2.87	3.203E-03	0.0146	Co-occurrence
P-0006428	MUT	GATA3	10p14	10 (0.99%)	2 (0.14%)	2.87	3.203E-03	0.0146	Co-occurrence
P-0006428	MUT	NFE2L2	2q31.2	10 (0.99%)	2 (0.14%)	2.87	3.203E-03	0.0146	Co-occurrence
P-0006428	MUT	NSD2	4p16.3	10 (0.99%)	2 (0.14%)	2.87	3.203E-03	0.0146	Co-occurrence
P-0006428	MUT	ESR1	6q25.1-q25.2	20 (1.99%)	10 (0.68%)	1.54	3.44E-03	0.0155	Co-occurrence
P-0006428	MUT	RET	10q11.21	20 (1.99%)	10 (0.68%)	1.54	3.44E-03	0.0155	Co-occurrence
P-0006428	MUT	NF2	22q12.2	14 (1.39%)	5 (0.34%)	2.03	3.588E-03	0.0159	Co-occurrence
P-0006428	MUT	ERCC5	13q33.1	21 (2.09%)	11 (0.75%)	1.48	3.638E-03	0.0159	Co-occurrence
P-0006428	MUT	GNAS	20q13.32	21 (2.09%)	11 (0.75%)	1.48	3.638E-03	0.0159	Co-occurrence
P-0006428	MUT	PTPRD	9p24.1-p23	21 (2.09%)	11 (0.75%)	1.48	3.638E-03	0.0159	Co-occurrence
P-0006428	MUT	ERBB2	17q12	22 (2.18%)	12 (0.82%)	1.42	3.8E-03	0.0165	Co-occurrence
P-0006428	MUT	ATM	11q22.3	48 (4.77%)	39 (2.66%)	0.84	3.855E-03	0.0167	Co-occurrence
P-0006428	MUT	FGFR4	5q35.2	23 (2.28%)	13 (0.89%)	1.37	3.932E-03	0.0169	Co-occurrence
P-0006428	MUT	ALK	2p23.2-p23.1	30 (2.98%)	20 (1.36%)	1.13	4.184E-03	0.017	Co-occurrence
P-0006428	MUT	BRD4	19p13.12	27 (2.68%)	17 (1.16%)	1.21	4.194E-03	0.017	Co-occurrence
P-0006428	MUT	CCND1	11q13.3	8 (0.79%)	1 (0.07%)	3.54	4.255E-03	0.017	Co-occurrence
P-0006428	MUT	NUP93	16q13	8 (0.79%)	1 (0.07%)	3.54	4.255E-03	0.017	Co-occurrence
P-0006428	MUT	PIK3R2	19p13.11	8 (0.79%)	1 (0.07%)	3.54	4.255E-03	0.017	Co-occurrence
P-0006428	MUT	TGFBR2	3p24.1	8 (0.79%)	1 (0.07%)	3.54	4.255E-03	0.017	Co-occurrence
P-0006428	MUT	CTNNB1	3p22.1	11 (1.09%)	3 (0.20%)	2.42	4.475E-03	0.017	Co-occurrence
P-0006428	MUT	MITF	3p13	11 (1.09%)	3 (0.20%)	2.42	4.475E-03	0.017	Co-occurrence
P-0006428	MUT	RARA	17q21.2	11 (1.09%)	3 (0.20%)	2.42	4.475E-03	0.017	Co-occurrence
P-0006428	MUT	RBM10	Xp11.3	11 (1.09%)	3 (0.20%)	2.42	4.475E-03	0.017	Co-occurrence
P-0006428	MUT	BORCS8-MEF2B	19p13.11	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	CHEK1	11q24.2	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	DROSHA	5p13.3	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	FOXO1	13q14.11	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	MALT1	18q21.32	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	MAPK3	16p11.2	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	PIK3R3	1p34.1	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	PIM1	6p21.2	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	RAD54L	1p34.1	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	RTEL1	20q13.33	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	TMEM127	2q11.2	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	XIAP	Xq25	6 (0.60%)	0 (0.00%)	>10	4.497E-03	0.017	Co-occurrence
P-0006428	MUT	CDC73	1q31.2	18 (1.79%)	9 (0.61%)	1.54	5.495E-03	0.0205	Co-occurrence
P-0006428	MUT	PMS1	2q32.2	18 (1.79%)	9 (0.61%)	1.54	5.495E-03	0.0205	Co-occurrence
P-0006428	MUT	GNA11	19p13.3	12 (1.19%)	4 (0.27%)	2.13	5.637E-03	0.0209	Co-occurrence
P-0006428	MUT	KEAP1	19p13.2	12 (1.19%)	4 (0.27%)	2.13	5.637E-03	0.0209	Co-occurrence
P-0006428	MUT	CDKN2C	1p32.3	19 (1.89%)	10 (0.68%)	1.47	5.796E-03	0.0213	Co-occurrence
P-0006428	MUT	CTCF	16q22.1	9 (0.89%)	2 (0.14%)	2.71	6.67E-03	0.0242	Co-occurrence
P-0006428	MUT	FOXA1	14q21.1	9 (0.89%)	2 (0.14%)	2.71	6.67E-03	0.0242	Co-occurrence
P-0006428	MUT	GATA2	3q21.3	9 (0.89%)	2 (0.14%)	2.71	6.67E-03	0.0242	Co-occurrence
P-0006428	MUT	KMT2D	12q13.12	60 (5.96%)	55 (3.75%)	0.67	7.111E-03	0.0256	Co-occurrence
P-0006428	MUT	RAF1	3p25.2	14 (1.39%)	6 (0.41%)	1.77	7.517E-03	0.0269	Co-occurrence
P-0006428	MUT	PRKN	6q26	15 (1.49%)	7 (0.48%)	1.64	8.233E-03	0.0293	Co-occurrence
P-0006428	MUT	SLX4	16p13.3	16 (1.59%)	8 (0.54%)	1.54	8.811E-03	0.0311	Co-occurrence
P-0006428	MUT	INPP4B	4q31.21	10 (0.99%)	3 (0.20%)	2.28	8.823E-03	0.0311	Co-occurrence
P-0006428	MUT	TLR4	9q33.1	0 (0.00%)	9 (0.61%)	<-10	8.995E-03	0.0316	Mutual exclusivity
P-0006428	MUT	ABL1	9q34.12	17 (1.69%)	9 (0.61%)	1.46	9.266E-03	0.0316	Co-occurrence
P-0006428	MUT	NTRK1	1q23.1	17 (1.69%)	9 (0.61%)	1.46	9.266E-03	0.0316	Co-occurrence
P-0006428	MUT	BTK	Xq22.1	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	CD79B	17q23.3	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	INHBA	7p14.1	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	PAK5	20p12.2	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	RAD51C	17q22	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	SF1	11q13.1	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	VTCN1	1p13.1-p12	7 (0.70%)	1 (0.07%)	3.35	9.414E-03	0.0316	Co-occurrence
P-0006428	MUT	ERCC2	19q13.32	18 (1.79%)	10 (0.68%)	1.39	9.613E-03	0.0321	Co-occurrence
P-0006428	MUT	DICER1	14q32.13	26 (2.58%)	18 (1.23%)	1.07	9.887E-03	0.0329	Co-occurrence
P-0006428	MUT	MRE11	11q21	11 (1.09%)	4 (0.27%)	2	0.0106	0.0352	Co-occurrence
P-0006428	MUT	CUL3	2q36.2	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	GNAQ	9q21.2	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	GSK3B	3q13.33	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	ICOSLG	21q22.3	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	IGF1	12q23.2	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	PDCD1	2q37.3	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	TNFRSF14	1p36.32	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	XRCC2	7q36.1	5 (0.50%)	0 (0.00%)	>10	0.0111	0.0353	Co-occurrence
P-0006428	MUT	FH	1q43	12 (1.19%)	5 (0.34%)	1.81	0.0121	0.0384	Co-occurrence
P-0006428	MUT	FGFR1	8p11.23	32 (3.18%)	25 (1.70%)	0.9	0.0123	0.0389	Co-occurrence
P-0006428	MUT	MUTYH	1p34.1	13 (1.29%)	6 (0.41%)	1.66	0.0133	0.0416	Co-occurrence
P-0006428	MUT	SUFU	10q24.32	13 (1.29%)	6 (0.41%)	1.66	0.0133	0.0416	Co-occurrence
P-0006428	MUT	KMT2B	19q13.12	8 (0.79%)	2 (0.14%)	2.54	0.0137	0.0418	Co-occurrence
P-0006428	MUT	MDM4	1q32.1	8 (0.79%)	2 (0.14%)	2.54	0.0137	0.0418	Co-occurrence
P-0006428	MUT	PHOX2B	4p13	8 (0.79%)	2 (0.14%)	2.54	0.0137	0.0418	Co-occurrence
P-0006428	MUT	POLQ	3q13.33	8 (0.79%)	2 (0.14%)	2.54	0.0137	0.0418	Co-occurrence
P-0006428	MUT	RHPN2	19q13.11	8 (0.79%)	2 (0.14%)	2.54	0.0137	0.0418	Co-occurrence
P-0006428	MUT	FGFR2	10q26.13	14 (1.39%)	7 (0.48%)	1.54	0.0142	0.043	Co-occurrence
P-0006428	MUT	STK11	19p13.3	14 (1.39%)	7 (0.48%)	1.54	0.0142	0.043	Co-occurrence
P-0006428	MUT	MYCN	2p24.3	15 (1.49%)	8 (0.54%)	1.45	0.0149	0.0449	Co-occurrence
P-0006428	MUT	ERBB3	12q13.2	24 (2.38%)	17 (1.16%)	1.04	0.0151	0.0455	Co-occurrence
P-0006428	MUT	BCL6	3q27.3	16 (1.59%)	9 (0.61%)	1.37	0.0154	0.0457	Co-occurrence
P-0006428	MUT	FLCN	17p11.2	16 (1.59%)	9 (0.61%)	1.37	0.0154	0.0457	Co-occurrence
P-0006428	MUT	CBL	11q23.3	22 (2.18%)	15 (1.02%)	1.1	0.0156	0.0463	Co-occurrence
P-0006428	MUT	MLH1	3p22.2	18 (1.79%)	11 (0.75%)	1.25	0.0159	0.0466	Co-occurrence
P-0006428	MUT	SH2B3	12q24.12	18 (1.79%)	11 (0.75%)	1.25	0.0159	0.0466	Co-occurrence
P-0006428	MUT	BRCA2	13q13.1	40 (3.97%)	35 (2.38%)	0.74	0.0167	0.0488	Co-occurrence
P-0006428	MUT	STAT3	17q21.2	9 (0.89%)	3 (0.20%)	2.13	0.0171	0.0496	Co-occurrence
P-0006428	MUT	SYK	9q22.2	9 (0.89%)	3 (0.20%)	2.13	0.0171	0.0496	Co-occurrence
P-0006428	DEL	CDKN2A	9p21.3	397 (39.42%)	224 (15.26%)	1.37	7.12E-42	2.06E-39	Co-occurrence
P-0006428	DEL	CDKN2B	9p21.3	376 (37.34%)	204 (13.90%)	1.43	2.84E-41	4.12E-39	Co-occurrence
P-0006428	DEL	GATA3	10p14	31 (3.08%)	3 (0.20%)	3.91	8.17E-10	7.9E-08	Co-occurrence
P-0006428	DEL	PTEN	10q23.31	70 (6.95%)	33 (2.25%)	1.63	1.04E-08	7.57E-07	Co-occurrence
